text,sentiment
@XFactorID @enka_namaku @myshajhuan Ada apa dengan juri XFactor Indonesia..??  Dengan orang yang sama dalam persaingan di bottom two RUTH dan HENDRA harus dipulangkan yang jelas jelas memiliki factor x jauh lebih menonjol dan nyaris sempurna. JURI DAN KEPUTUSAN YANG SANGAT  KALENG KALENG.. ????????,negatif
"@XFactorID @bclsinclair @2ndChance_id @chicagotheband Setelah Ruth yang dipilih juri pulang,kemudian Hendra juga pulang dengan saingan orang yang sama saat bottom two. X factor Indonesia sangat terlihat tidak berbobot . Ada apa dengan para juri. SANGAT KALENG KALENG KEPUTUSAN AKHIR KALIAN.",negatif
@XFactorID @alvinxjo @DnrWidianto @myshajhuan @GanyGery @tulusm Garela bgttt ayang alpin dipegang maysha wkwk tp kereeen,positif
@XFactorID @bclsinclair @2ndChance_id @chicagotheband Terbaik!,positif
@XFactorID @alvinxjo Jas merah harus sampe juara ????,positif
"Diramalkan ini merupakan calon juara @XFactorID ..
Y khannn @alvinxjo 
????????????
Gw yakin u udh g bosen lgi kan, jdi hrs semangat.. Sukses terus y Vin.. Meet u someday.. Waks.. ???? https://t.co/APHPpDd9pZ",positif
"Sedih hendra enka keluar dr @XFactorID  semoga cepet keluarin album, gw bakal beli!!!!",negatif
"@XFactorID @enka_namaku @myshajhuan yg dipertahanin yg good looking ni ya dri kemaren, payah WKWKWKW",negatif
@XFactorID @alvinxjo Aku cuma mau alvin diginiin juga pas punya karya nanti cuma itu harapan ku buat alvin ???,positif
"@tariafl @XFactorID @enka_namaku @myshajhuan Gemeessss yaaa 
Seumur hidup ngefans sama ariel baru kali ini kecewa sama pilihannya :(",negatif
"@alvinxjo nya 1, pendukungnya banyak ???? 
terimakasih Alvin, sudah membuat hari senin menjadi hari yg paling ditunggu saat ini, karena ada kamu manggung di @XFactorID ..",positif
"@XFactorID @enka_namaku @myshajhuan Woyyy acara kgk jelass. Bisa2nya yg pny factor x dikeluarin kyk ruth,maydea,hendra :(( 
Wajib ada Wildcard yah!",negatif
@XFactorID @alvinxjo Teralvin-alvin untuk yang kesekian kalinyaaaa????,positif
"@XFactorID @enka_namaku @myshajhuan Karena kalo Maysha yang keluar, cewenya tinggal satu, jadi ga seru ????",negatif
@XFactorID @alvinxjo Penampilan yg sangat keren,positif
"@XFactorID @enka_namaku Guys, Ruth aja keluar ya apalagi Hendra.. Hendra bagus banget, tapi tentu jelas lah ya acara ini kan buat yang good looking aja.. Semangat Hendra!",negatif
@XFactorID @alvinxjo Berasa kek lagi di kondangan ????,positif
"@XFactorID @enka_namaku @myshajhuan sisa jelek semua.. Ak skrg bingung, TRUS YANG MAU JADI JUARA SIAPA? MAYDEA, HENDRA, RUTH semua udh kagak ada ????",negatif
@justabadboyyy @enka_namaku @XFactorID Bener banget????,netral
@XFactorID @enka_namaku @myshajhuan harapanku tinggal danar sama 2nd chance inimah udah ????,netral
@XFactorID @enka_namaku @myshajhuan KESEL NGGA NIIII @Gemilang_GR,negatif
"@XFactorID @enka_namaku @myshajhuan GABAKAL NONTON LAGI DAH GUE, ANEH BGT SI ARIL BISA2 NYA BUANG HENDRA",negatif
"@XFactorID @enka_namaku @myshajhuan kemaren ruth pulang skrg hendra, enak ya aman mulu",negatif
@XFactorID @enka_namaku @myshajhuan Kok bisaa :'(,negatif
"kecewa parah jagoan gua hendra a.k.a  @enka_namaku malem ini keluar, persetan kalo alesanya kompetisi dan udah pemenang, gua rasa peserta-peserta yang bikin xfactor tahun ini berwarna udah ga ada... kayanya malem ini terkahir nntn 
@XFactorID
 :( #xfactorindonesia",negatif
@XFactorID @alvinxjo @DnrWidianto @myshajhuan @GanyGery @tulusm maysha alvin duetin terus min ????,netral
"@XFactorID @enka_namaku @myshajhuan bukan hanya armand maulana, tapi ariel pun nyelamatin maysha.. congratz maysha .. good luck hendra albumnya mau digarap",positif
@XFactorID @enka_namaku @myshajhuan selesai samapai disini juga saya nonton x factor,negatif
@XFactorID @alvinxjo Bakalan trending lg ya sayang ya Alvin???,positif
@XFactorID @alvinxjo Makasih ya alvin kamu selalu keren tiap gala,positif
@XFactorID @alvinxjo Meresahkannnn????????????,negatif
"kecewa parah hendra enka malem ini keluar , kenapa peserta-peserta yang bikin xfactor tahun ini berwarna pada keluar?????... kayanya malem ini terkahir nntn @XFactorID :( #xfactorindonesia",negatif
@XFactorID @alvinxjo Red suit ???????? keren bgt malam ini #allveforalvinxjo @alvinxjo @teamall_ve,positif
"@XFactorID @enka_namaku @myshajhuan Semangat Enka, kalah beruntung vooting doank..
????????????????????",positif
@XFactorID @enka_namaku @myshajhuan Ko bisa ariel engga menyelamatkan hendra? Hah???? Whyy????,negatif
"Langkah @enka_namaku harus terhenti malam ini di panggung #XFactorIndonesia, thank YOU dan kita pasti akan tunggu karya-karya kamu, see you on top????????????

CONGRATS @myshajhuan, kita ketemu lagi minggu depan!????

#GalaLiveShow8
#XFactorIndonesia https://t.co/giJiOaYlEl",netral
"@XFactorID @enka_namaku @myshajhuan Gua seneng bgt hendra pulang malam ini, thaks ????",negatif
"Aduh Hendra dah keluar ????
@XFactorID",negatif
@XFactorID @alvinxjo @DnrWidianto @myshajhuan @GanyGery @tulusm Sukaaa banget bagian openingnya alvin???????????,positif
@XFactorID @alvinxjo Ttp semangat,positif
"Sayang sekali @enka_namaku dan @myshajhuan harus masuk dalam BOTTOM TWO malam ini. Good luck and DO YOUR BEST????????????

#GalaLiveShow8
#XFactorIndonesia https://t.co/cMetTVZ7aC",netral
@XFactorID @alvinxjo @DnrWidianto @myshajhuan @GanyGery @tulusm sukak bgttt apalagi pas openingnya mantep bgt @alvinxjo ????????,positif
"@XFactorID @alvinxjo @DnrWidianto @myshajhuan @GanyGery @tulusm Ga ngerti lagi, emang keren semua ????",positif
@XFactorID @alvinxjo @DnrWidianto @myshajhuan @GanyGery @tulusm Suka bgt ama openingnya gemoyy apalagi pas alvin dihempas danar wkwkw,positif
"@XFactorID @alvinxjo @DnrWidianto @myshajhuan @GanyGery @tulusm Openingnya dong, suka banget konsepnya, Alvin hadap belakang, Maysha hadap depan sambil pegang bahu Alvin ????",positif
"@XFactorID @alvinxjo gw ga ngerti lagu nya, tapi tetep dengerin sampe selesai karena pembawaannya Alvin nyampek banget ke hati.",positif
"@XFactorID @edopratama___ @OfficialRCTI @Fremantle_ID Fals banget min,, ini sih di cafe tempat gw nongkrong juga gak kepake..",negatif
"Kolab yang SERU ABISSS dari @Roby_Gultom @enka_namaku @2ndChance_id. 1 kata untuk kolab mereka??????????

Lagu: This Love by @maroon5 

#GalaLiveShow8
#XFactorIndonesia https://t.co/be9ubKa0gp",positif
@XFactorID @OfficialRCTI Rossa tetap legend meskipun di manipulasi,netral
"Yang merinding nonton penampilan @Roby_Gultom yukkk kumpul di sini????????????. Penampilan Roby pantes banget dapat STANDING OVATIONS, iya gak X Fellas?

Lagu: Nessun Dorma by Giacomo Puccini

#GalaLiveShow8
#XFactorIndonesia https://t.co/pQL9yLUTZ9",positif
@XFactorID @alvinxjo Alvin tetap yang terbaik dan terganteng,positif
Roby Gultom mlm ini di @XFactorID ngeluarin senjatanya. LUAR BIASA BAGUS BANGET! ???????? https://t.co/iTmxHgS7wG,positif
"KEREN!! @GanyGery sukses dan bikin lagu ""Pandangan Pertama"" @RANforyourlife jadi seru dan ASIK banget????????????

#GalaLiveShow8
#XFactorIndonesia https://t.co/dcZtDScG4B",positif
@XFactorID @alvinxjo Tadi agak melow krn Alvin nyanyi ini untuk Omanya yg belom lama berpulang,netral
"Alvin bawain Unchained Melody by Todd Duncan dengan versi dia yang menurutku udah enak. Walaupun memang belum mulus tapi feelnya dapet ????
Good job Alvin @alvinxjo, terus mengexplore diri biar makin wow ????

@teamall_ve @XFactorID
#XFactorIndonesia https://t.co/e17A4vGcfZ",positif
@XFactorID @alvinxjo Alviiiiiinnn..... kereeennnn bgt !!!!!,positif
@XFactorID @alvinxjo alvin ak gatau lagunya tp ak sukakk dengernyaaa????????????,positif
"@XFactorID @alvinxjo Tetap keren dan menghipnotis, walaupun ngga tau lagunya tapii tetap menikmati dan tetiba mewek..  
Tetap semangat Boss Gengss ????????????????
Always TerAlvin alvin @alvinxjo @teamall_ve

#AllveforAlvinxjo 
#teamallve
#xfactorindonesia",positif
"@XFactorID @R_besar @edopratama___ @KalebJonath @OfficialRCTI @Fremantle_ID Jadi kasian ama yg punya lagu, lagunya jadi jelek ??",negatif
"MASYHA..
Wooow suara nya kereeen bgttt..
Ini baru Calon bintang masa depan..
????????????

#XFactorIndonesia 
#RCTI 
@XFactorID https://t.co/w2aDOeTDNS",positif
@XFactorID @alvinxjo Alvin malam ini charming sekalii????,positif
@XFactorID @alvinxjo Sopan banget di kuping.. Tetap teralvin alvin,positif
@XFactorID @alvinxjo yah kelewat ????,netral
"@XFactorID @alvinxjo Alvin kamu tetap keren????, lanjut sampai final ,Aamin",positif
@XFactorID @alvinxjo Semangat terus Alvin ????????,positif
@XFactorID @alvinxjo Bagus bgt sih alvinnn,positif
"@XFactorID @alvinxjo Udah keren banget si, good job alvin",positif
@XFactorID @alvinxjo Notif admin aga ramean klo habis post alvin pasti ????,netral
Andai suara Masya se-perfect Anneth maka pas banget dengan wajah Masya yang perfect ???? @mynameisrossa @OfficialRCTI @Judikajude @XFactorID,positif
"Gak cuma neneknya @alvinxjo yang seneng, tapi X Fellas juga FIXX jadi klepek-klepek. 1 kata untuk penampilan Alvin?????????????? 

Lagu: Unchained Melody by Todd Duncan

#GalaLiveShow8
#XFactorIndonesia https://t.co/Ik6djqx080",netral
"Ada sedikit kurang PD saat Alvin menggeber nada panjang, sejingga goyang diujungnya sehingga falsetnya ikut terpengaruh dikit @mynameisrossa @OfficialRCTI @Judikajude @XFactorID ????",negatif
"Ini judges jg bikin greget kenapa commentnya main aman semua? Padahal jelas ada yg performancenya kurang bgt, ga enak sama mentor lain? Ayo kasih kritik membangun yang transparan based on their performances biar pada improve juga, biar jd evaluasi buat mentornya jg @XFactorID",negatif
@XFactorID @DnrWidianto @Sia Ngk perna bikin kecewa..,positif
"Karakter suara @DnrWidianto selalu SUKSES bikin lagu jadi unik. X Fellas setuju gak nihh??????????????

Lagu: Snowman by @Sia 

#GalaLiveShow8 
#XFactorIndonesia https://t.co/KkIto7esjS",positif
"Habis ini Alvin perform Unchained Melody, penasaran banget bakal kayak gimana aransemennya ????

@alvinxjo @teamall_ve @XFactorID 
#AlvinJo #AllveforAlvinJo #XFactorIndonesia https://t.co/anno6UTP6S",netral
Sedap gila Mama Papa Larang versi Judika X Hendra ni ???? @XFactorID,positif
"Ga masalah nyanyi lagu apa dan gimana tehniknya, Danar akan terus melaju, dia dilahirkan untuk di puja dan viral @mynameisrossa @OfficialRCTI @Judikajude @XFactorID ????",positif
Sudah tampil aja 2nd Chance...ternyata salah tebak lagu semua ???????? @OfficialRCTI @XFactorID @Judikajude @mynameisrossa,netral
@XFactorID @R_besar @edopratama___ @KalebJonath @OfficialRCTI @Fremantle_ID maaf tapi menurutku dia selalu ngerusak lagu....,negatif
"@XFactorID @R_besar @edopratama___ @KalebJonath @OfficialRCTI @Fremantle_ID Penyanyi ginian malah kasian dibully?? liat youtube nya full of bullies??
Emang sih nyanyinya sampah bgt hahahaha",negatif
"@XFactorID @OfficialRCTI @Fremantle_ID Gila-gila Alvin @alvinxjo bakal bawain Unchained Melody buat solo performnya dan hati-hati di jalan buat collab stage nya. Gokil nih nyanyiin lagu yg lagi viral ????

#AlvinJo #XFactorIndonesia https://t.co/3xa8Dv7PWE",positif
@XFactorID @OfficialRCTI @Fremantle_ID Nonton di youtube walaupun udah kadaluarsa keknya kwkwk,netral
"Ini dia lagu-lagu yang akan dinyanyikan TOP 7 di #GalaLiveShow8. Siapa yang excited untuk nonton penampilan mereka nihh??! Yukk absen di kolom komentar????????????

#XFactorIndonesia
#ItsTimeToFaceTheMusic

@officialrcti @Fremantle_ID https://t.co/sYPS2BpBCC",netral
"TOP 7 @XFactorID ! ????

Kalau minggu lalu mereka membawakan lagu lagu hits pada tahun 90 an, kira kira malam ini ada kejutan apa lagi yah? 

Saksikan Top 7 #XFactorIndonesia malam ini pukul 18.00 WIB LIVE DI RCTI https://t.co/jK8RFbynOU",netral
"HARI INI?????? Gala Live Show 8 #XFactorIndonesia akan TAYANG pukul 17.50 WIB hanya di @officialrcti ????

Jangan lupa VOTE sebanyak-banyaknya untuk jagoan kalian hanya di aplikasi @RCTIPlus. Go vote now!????????

#ItsTimeToFaceTheMusic

@Fremantle_ID https://t.co/rTIlZI9W3Z",netral
"Haii haii X Fellas!! Siapa yang udah siap dan gak sabar untuk nonton penampilan TOP 7 di GALA LIVE SHOW 8?!??????????????????

Stay tuned HARI INI, jam 17.50 WIB hanya di @officialrcti. Don???t miss it!

#XFactorIndonesia
#ItsTimeToFaceTheMusic

@officialrcti @Fremantle_ID https://t.co/6G1ECEPfnh",netral
"Kalo bener 2nd Chance - You are not alone, maka yang paling menonjol bakal suara personil 2nd Chance yang paling kanan, klo merujuk Earth Song yang lalu, timbre suaranya mirip MJ @OfficialRCTI @XFactorID @Judikajude @mynameisrossa bingung nebak yg keluar,semua bagus ???? https://t.co/xwWy24lntd",positif
"Hari Minggu, saatnya TEBAK JUDUL LAGU????

Kira-kira apa nih lagu-lagu yang akan dinyanyikan oleh TOP 7 di #GalaLiveShow8?? ????????

#XFactorIndonesia
#ItsTimeToFaceTheMusic 

@officialrcti @Fremantle_ID https://t.co/STCczfulDw",netral
"Hey hey #SnackFriends ,top 7 kontestan @xfactorID bakal live HARI INI jam 18.30 WIB di #SnackLive dan pastinya kalian bisa berinteraksi langsung dengan mereka di aplikasi SnackVideo. 
https://t.co/Bu2Ibsz7oC??? 

#SnackVideo #SnackVideo2022 #LiveStreaming #XFactorIndonesia https://t.co/VlTWYPG0DV",netral
"@SnackVideo_IDN @XFactorID Hallo Snack Video, bagaimana cara melaporkan Akun di Snack Video yang mengambil profile dan memakai Nama Saya dari Akun Tiktok ? Baik nama saya, Konten2 saya semuanya dipakai oleh orang lain?",negatif
@XFactorID @alvinxjo Haduh parah;( gak kuat,negatif
@XFactorID @OfficialRCTI @Fremantle_ID Ayang Alvin @alvinxjo pastinya donk???????,netral
